Id,Name,Family,Genus,Level,LevelRange,Element,Strength,Ether,Dexterity,Agility,Luck,MaxHp,PhyRst,EtherRst,Exp,Gold,Wp,Sp,Enhance1
84,パラグ（仮）,Insect,Parisax,1,0,Wind,28,30,34,1,10,2940,-10,20,26,16,4,2,
85,パライド（仮）,Insect,Parisax,1,0,Earth,34,27,30,1,4,3920,30,0,60,39,4,2,
86,ギャノム（仮）,Insect,Gyanna,1,0,Electric,25,34,27,1,8,1560,0,15,20,9,4,2,
87,ギャノム（仮）,Insect,Gyanna,1,0,Earth,29,30,28,1,10,1780,20,-10,20,9,4,2,
88,ギャノム（仮）,Insect,Gyanna,1,0,Wind,26,38,34,1,13,1450,-10,30,20,9,4,2,
89,ローグル（仮）,Aerial,Rhogul,1,0,None,36,24,30,1,9,1170,20,-10,24,9,4,2,
90,ローグル（仮）,Aerial,Rhogul,1,0,None,40,22,28,1,6,1670,30,-10,28,13,4,2,
91,アンセル（仮）,Aerial,Ansel,1,0,None,26,24,35,3,5,1400,0,20,22,9,4,2,
92,アンセル（仮）,Aerial,Ansel,1,0,None,25,28,37,3,6,1350,0,20,22,9,4,2,
93,アンセル（仮）,Aerial,Ansel,1,0,None,24,28,38,3,10,1290,0,20,22,9,4,2,
94,アンセル（仮）,Aerial,Ansel,1,0,None,24,33,40,3,16,1200,0,30,26,16,4,2,
95,クロード（仮）,Aerial,Quadwing,1,0,None,21,27,37,1,10,1670,-10,10,18,16,4,2,
96,クロード（仮）,Aerial,Quadwing,1,0,None,25,28,38,1,10,1940,-10,15,20,16,4,2,
97,クロード（仮）,Aerial,Quadwing,1,0,None,22,32,36,1,17,1800,-10,20,20,26,4,2,
98,ヴァンプ（仮）,Aerial,Vang,1,0,Wind,21,27,29,1,10,1080,-15,20,10,6,4,2,
99,ヴァンプ（仮）,Aerial,Vang,1,0,Ice,21,32,28,1,4,1150,-10,10,10,6,4,2,
100,ヒルン（仮）,Aerial,Hiln,1,0,None,26,20,27,1,11,1740,0,10,12,6,4,2,
101,スキート（仮）,Aerial,Skeeter,1,0,Fire,18,26,29,1,10,860,-10,15,12,13,4,2,
102,スキート（仮）,Aerial,Skeeter,1,0,Wind,20,24,34,1,11,940,-10,15,12,13,4,2,
103,フライア（仮）,Aerial,Flier,1,0,Wind,19,36,27,3,15,740,-20,30,10,9,4,2,
104,ランプス（仮）,Aerial,Wisp,1,0,Water,24,21,28,3,4,1000,-10,20,12,13,4,2,
105,モラモラ（仮）,Aerial,Moramora,1,0,Wind,31,25,34,1,10,2020,20,-10,24,19,4,2,
106,モラモラ（仮）,Aerial,Moramora,1,0,Electric,26,34,37,1,15,1860,-10,30,24,19,4,2,
107,レクソス（仮）,Aerial,Lexos,1,0,Water,27,37,29,1,8,3600,0,20,100,66,4,2,
108,レクソス（仮）,Aerial,Lexos,1,0,Fire,29,39,28,1,9,3900,-10,30,100,66,4,2,
109,ジェリー（仮）,Aerial,Medooz,1,0,Water,14,33,27,1,8,1130,0,50,10,6,4,2,
110,シガル（仮）,Aerial,Puffot,1,0,None,24,22,28,1,9,1290,-10,10,12,6,4,2,
111,シガル（仮）,Aerial,Peng,1,0,None,22,36,35,1,17,1110,-10,20,12,6,4,2,
112,シガル（仮）,Aerial,Peng,1,0,None,28,24,28,1,5,1500,20,0,12,6,4,2,
113,シガル（仮）,Aerial,Peng,1,0,None,21,39,37,1,19,1330,15,0,12,6,4,2,
114,プレイン（仮）,Titan,Ardainian,1,0,None,24,24,35,1,10,2680,15,10,24,26,4,2,
115,プレイン（仮）,Titan,Lindwurm,1,0,None,24,25,33,1,5,2520,15,10,24,26,4,2,
116,クライブ（仮）,Aquatic,Krabble,1,0,Water,26,22,27,1,4,1130,15,-10,12,6,4,2,
117,クライブ（仮）,Aquatic,Krabble,1,0,Ice,24,26,27,1,4,1180,15,-10,12,6,4,2,
118,クライブ（仮）,Aquatic,Krabble,1,0,Water,26,22,27,1,9,1350,15,0,14,16,4,2,
119,クライブ（仮）,Aquatic,Krabble,1,0,Ice,24,27,28,1,9,1400,15,0,14,16,4,2,
120,クライブ（仮）,Aquatic,Pagul,1,0,Water,30,25,35,1,5,1830,25,0,16,9,4,2,
121,サモン（仮）,Aquatic,Piranhax,1,0,Water,25,21,28,1,4,1150,15,-10,12,6,4,2,
122,サモン（仮）,Aquatic,Piranhax,1,0,Water,28,20,27,1,9,1420,15,-10,12,6,4,2,
123,グラディ（仮）,Aquatic,Grady,1,0,Water,22,33,28,3,10,1020,-10,15,12,9,4,2,
124,グラディ（仮）,Aquatic,Grady,1,0,Water,22,35,29,3,18,1220,-10,15,12,9,4,2,
125,ディブロ（仮）,Aquatic,Aligo,1,0,Water,25,24,29,1,9,2320,20,-10,26,9,4,2,
126,ディブロ（仮）,Aquatic,Aligo,1,0,Wind,24,25,31,1,15,2200,10,20,26,16,4,2,
127,ディブロ（仮）,Beast,Ropl,1,0,Earth,33,22,29,1,5,2480,30,-10,26,9,4,2,
128,ディブロ（仮）,Beast,Ropl,1,0,Water,38,27,28,1,19,2680,40,20,26,16,4,2,
129,タンク（仮）,Titan,Ardainian,1,0,None,37,22,26,1,8,3260,30,0,40,19,4,2,
130,タンク（仮）,Titan,Brionac,1,0,None,39,24,26,1,8,3060,30,0,40,19,4,2,
131,タンク（仮）,Titan,,1,0,None,30,30,31,1,14,2400,0,0,20,33,4,2,
132,ロドン（仮）,Aquatic,Serprond,1,0,Water,39,38,30,1,11,4800,0,25,100,66,4,2,
134,ロドン（仮）,Aquatic,Serprond,1,0,Wind,33,42,35,1,16,3640,0,40,120,82,4,2,
135,カピーバ（仮）,Beast,Kapiba,1,0,None,25,26,33,1,11,1440,10,-10,12,6,4,2,
136,カピーバ（仮）,Beast,Kapiba,1,0,None,24,29,37,1,15,1290,10,15,12,9,4,2,
137,カピーバ（仮）,Beast,Grebel,1,0,Earth,24,33,31,1,10,1220,25,-10,12,6,4,2,
138,カピーバ（仮）,Beast,Grebel,1,0,Wind,23,36,32,1,12,1350,30,-10,12,6,4,2,
139,Grebb,Aquatic,Squood,1,0,Wind,48,39,37,1,18,5040,0,30,160,132,4,2,
140,スイード（仮）,Aquatic,Squood,1,0,Water,25,37,29,1,8,2230,-10,15,22,13,4,2,
141,ターキン（仮）,Humanoid,Tirkin,1,0,None,30,30,31,0,14,1000,0,0,20,33,4,2,
142,ターキン（仮）,Humanoid,Tirkin,1,0,None,30,30,31,0,14,1000,0,0,20,33,4,2,
143,イグーナ（仮）,Humanoid,Igna,1,0,None,30,30,31,0,14,1000,0,0,20,33,4,2,
144,イグーナ（仮）,Humanoid,Igna,1,0,None,30,30,31,0,14,1000,0,0,20,33,4,2,
145,イグーナ（仮）,Humanoid,Igna,1,0,None,30,30,31,0,14,1000,0,0,20,33,4,2,
146,イグーナ（仮）,Humanoid,Igna,1,0,None,35,24,29,1,9,3120,25,0,36,26,4,2,
147,イグーナ（仮）,Humanoid,Igna,1,0,None,38,26,31,1,11,3120,25,0,44,33,4,2,
148,イグーナ（仮）,Beast,Rhinon,1,0,None,33,23,27,1,8,3120,25,0,30,9,4,2,
150,Rom-Bol,Machine,Sovereign,1,0,None,25,25,30,2,3,1530,10,-10,14,9,4,2,
151,Rom-Bol,Machine,Sovereign,1,0,None,24,24,28,2,3,1440,10,-10,12,3,4,2,
152,ソウズ（仮）,Machine,Sovereign,1,0,None,36,27,29,2,18,2110,30,-10,24,16,4,2,
153,ソウズ（仮）,Machine,Sovereign,1,0,None,35,26,29,2,11,1920,30,-10,20,3,4,2,
154,Gog-Bol,Machine,Sovereign,1,0,None,21,31,34,2,2,1240,-10,15,12,6,4,2,
156,ギャリオ（仮）,Machine,Sovereign,1,0,None,26,33,37,1,22,1780,0,50,30,39,4,2,
157,ギャリオ（仮）,Machine,Sovereign,1,0,None,32,30,40,1,11,1350,20,10,26,19,4,2,
158,ギャリオ（仮）,Machine,Sovereign,1,0,None,30,30,31,0,14,1000,0,0,20,33,4,2,
159,ギャリオ（仮）,Machine,Sovereign,1,0,None,48,45,30,1,10,4320,25,0,80,49,4,2,
160,ギャリオ（仮）,Machine,Bot,1,0,None,30,30,31,0,14,200,0,0,20,33,4,2,
161,ピピット（仮）,Beast,Pippito,1,0,None,20,54,43,2,19,540,0,0,60,99,4,2,
162,ピピット（仮）,Beast,Pippito,1,0,None,24,60,46,2,22,1230,0,0,100,165,4,2,
163,ポッド（仮）,Insect,Arachno,1,0,Water,0,0,0,2,0,150,-10,10,4,0,4,2,
164,ポッド（仮）,Insect,Parisax,1,0,Fire,0,0,0,2,0,180,-10,10,4,0,4,2,
165,コンテナ（仮）,Machine,Sovereign,1,0,Electric,0,0,0,2,0,300,20,0,4,0,4,2,
166,ハチの巣（仮）,Insect,Skeeter,1,0,Wind,0,0,0,2,0,220,10,-10,4,0,4,2,
167,軍旗（仮）,Symbol,Igna,1,0,None,0,0,0,0,0,150,0,0,4,0,4,2,
168,軍旗（仮）,Symbol,Garlus,1,0,None,0,0,0,0,0,120,0,0,4,0,4,2,
169,軍旗（仮）,Symbol,Brionac,1,0,None,0,0,0,0,0,120,0,0,4,0,4,2,
170,トーテム（仮）,Symbol,Tirkin,1,0,None,0,0,0,0,0,300,30,0,4,0,4,2,
171,謎生命（仮）,Aquatic,Urchon,1,0,Water,33,26,29,2,4,1800,40,10,26,13,4,2,
172,謎生命２（仮）,Aquatic,Urchon,1,0,Fire,36,24,28,2,18,2070,40,15,28,16,4,2,
173,人工君（仮）,Machine,Bot,1,0,Dark,33,38,37,2,16,1990,15,20,26,19,4,2,
174,DEKU,Humanoid,Garlus,1,0,None,36,21,27,4,5,1320,10,0,20,33,4,2,
175,DEKU,Humanoid,Garlus,1,0,None,39,24,29,4,6,1140,10,0,20,33,4,2,
176,DEKU,Humanoid,Garlus,1,0,None,33,30,34,4,10,1100,10,0,20,33,4,2,
177,,Humanoid,Ardainian,4,0,None,37,34,34,3,15,1350,10,-10,32,44,5,3,
178,,Humanoid,Ardainian,4,0,None,40,38,37,4,17,2700,15,-10,32,44,5,3,
179,King Crustip,Aquatic,Crustip,1,0,Water,15,15,31,1,14,350,0,0,20,33,4,2,
180,Lethal Lysaat King,Aquatic,Lysaat,2,0,Water,66,88,34,3,18,4500,20,10,48,54,10,7,
181,Megalo Aligo,Aquatic,Aligo,4,0,Water,136,110,35,4,7,8750,0,30,80,88,15,9,
182,Malos,Humanoid,Torna,5,0,None,14,17,30,3,16,4800,0,0,108,144,20,16,
183,,Blade,Blade,5,0,None,58,58,42,0,28,3000,0,0,0,0,0,0,
184,Wormeater Brog,Aquatic,Brog,6,0,Water,52,52,45,5,32,3500,0,0,240,208,18,12,
185,Captain Padraig,Humanoid,Ardainian,8,0,None,54,51,48,6,27,4727,15,-10,96,74,10,6,
186,Ardainian Soldier,Humanoid,Ardainian,6,0,None,41,38,40,3,20,1606,10,-10,28,20,6,4,
187,Brighid,Blade,Blade,10,0,Fire,64,89,67,5,50,14800,-15,25,280,180,32,20,
188,,Humanoid,Ardainian,6,0,None,48,44,40,3,20,1890,10,-10,28,20,6,4,
189,Ardainian Soldier,Humanoid,Ardainian,11,0,None,75,69,52,4,30,4725,10,-10,42,30,9,5,
190,Ardainian Sergeant,Humanoid,Ardainian,12,0,None,87,82,58,7,37,11070,15,-10,154,98,13,7,
191,Dughall,Humanoid,Ardainian,13,0,None,83,78,59,5,43,48789,0,0,0,0,0,0,
192,,Blade,Blade,13,0,None,127,92,65,5,14,21420,0,0,0,0,0,0,
193,Mòrag,Humanoid,Driver,15,0,Fire,65,45,84,9,81,55260,0,20,1365,1000,110,60,
194,,Blade,,15,0,None,131,65,70,0,63,7675,0,0,0,0,0,0,
195,Latollo Puffot,Aerial,Puffot,22,0,None,100,92,81,4,58,6902,-10,10,288,144,14,7,
196,Menacing Jo,Humanoid,Driver,25,0,None,118,111,107,8,79,41652,10,-10,346,330,24,12,
197,Cartbreaker Grzeg,Humanoid,Driver,24,0,None,133,122,90,7,67,52292,20,-15,489,379,22,10,
198,Benjamin the Brain,Humanoid,Driver,26,0,None,120,147,98,8,99,53363,-10,20,728,447,32,16,
199,Vandham,Humanoid,Driver,20,0,Wind,138,110,78,10,51,58149,20,10,1500,650,39,21,
200,,Blade,Blade,20,0,None,66,66,84,0,81,12425,0,0,0,0,0,0,
201,Yew,Humanoid,Driver,18,0,Fire,80,118,86,7,71,15048,0,15,318,295,18,9,
202,Zuo,Humanoid,Driver,19,0,Earth,105,89,72,7,35,20565,15,0,345,310,19,10,
203,Rampaging Ardun,Beast,Ardun,21,0,None,170,100,67,9,27,72630,25,-15,536,411,42,21,
204,Elder Arachno,Insect,Arachno,22,0,None,90,108,108,14,105,116000,-10,15,1296,720,70,35,
205,,Blade,,22,0,None,181,181,90,0,88,29000,0,0,0,0,0,0,
206,Akhos,Humanoid,Torna,24,0,None,152,188,120,8,104,75037,12,25,815,948,60,28,
207,,Humanoid,Blade,24,0,None,196,196,96,0,95,33350,0,0,0,0,0,0,
208,Zeke,Humanoid,Driver,23,0,None,165,146,115,12,27,109025,0,0,1848,1132,75,35,
209,,Blade,,23,0,None,188,94,93,0,92,15575,0,0,0,0,0,0,
210,Violent Driver,Humanoid,Driver,23,0,None,206,154,100,11,101,101237,5,10,1232,453,45,21,
211,,Blade,Blade,23,0,None,188,188,93,0,92,31150,0,0,0,0,0,0,
212,Akhos,Humanoid,Torna,24,0,None,156,188,120,8,104,266800,12,25,0,0,0,0,
213,,Humanoid,Blade,24,0,None,196,196,96,0,95,33350,0,0,0,0,0,0,
214,Malos,Humanoid,Torna,26,0,None,184,138,105,8,95,310780,20,10,0,0,0,0,
215,,Blade,Blade,26,0,None,210,210,101,0,102,37900,0,0,0,0,0,0,
216,Lila,Blade,Bot,29,0,Fire,324,278,143,10,103,234520,25,10,3165,1930,180,80,
217,Mòrag,Humanoid,Driver,31,0,Fire,177,88,172,15,156,225675,0,20,3450,2080,180,90,
218,,Blade,,31,0,None,246,123,115,0,120,25075,0,0,0,0,0,0,
219,Ardainian Soldier,Humanoid,Ardainian,27,0,None,112,103,92,8,66,15214,10,-10,384,53,25,12,
220,Jailer Tirkin,Humanoid,Tirkin,29,0,None,204,185,115,13,70,29315,15,-10,316,231,27,12,
221,Lila,Blade,Bot,31,0,Fire,344,295,149,11,110,260780,25,10,4140,2080,216,108,
222,Rosa,Machine,Bot,32,0,Earth,404,278,123,11,40,379800,30,15,0,0,0,0,
223,Patroka,Humanoid,Torna,33,0,None,234,339,133,11,165,177280,0,0,0,0,0,0,
224,,Blade,Blade,33,0,None,261,261,121,0,127,55400,0,0,0,0,0,0,
225,Mikhail,Humanoid,Torna,34,0,None,335,246,119,11,107,244020,25,5,0,0,0,0,
226,,Blade,Blade,34,0,None,268,268,124,0,131,58100,0,0,0,0,0,0,
227,Zeke,Humanoid,Driver,32,0,None,222,197,146,15,36,237375,0,0,1920,1080,95,45,
228,,Blade,,32,0,None,253,126,118,0,123,26375,0,0,0,0,0,0,
229,Zeke,Humanoid,Driver,35,0,None,253,220,156,16,40,334675,0,0,2152,1200,100,45,
230,,Blade,,35,0,None,275,137,126,0,134,30425,0,0,0,0,0,0,
231,Jin,Humanoid,Torna,40,0,None,304,373,224,12,273,376750,10,25,5868,4200,220,100,
232,Aeshma's Core,Titan,Ardainian,38,0,Earth,445,386,172,14,188,555200,30,10,1788,3960,252,120,
233,Aeshma,Titan,Ardainian,38,0,None,297,297,135,0,145,69400,0,0,298,264,21,10,
234,Aeshma's Core,Titan,Ardainian,38,0,Earth,445,386,172,14,188,555200,30,10,1788,1320,63,30,
235,Tirkin,Humanoid,Tirkin,39,0,None,234,145,126,21,56,98396,25,-10,468,544,22,10,
236,Giga Rosa,Machine,Bot,42,0,Earth,652,358,189,14,52,586800,30,15,6390,5920,460,200,
237,Tantalese Knight,Humanoid,Tantal,42,0,None,179,102,163,11,127,28525,10,0,284,148,11,5,
238,Akhos,Humanoid,,43,0,Electric,286,372,193,14,226,253950,10,30,2960,1525,172,75,
239,Patroka,Humanoid,,42,0,Earth,254,384,167,14,174,211900,0,40,2840,1480,172,75,
240,Mikhail,Humanoid,,44,0,Dark,333,333,164,14,199,421680,20,20,3072,1570,180,75,
241,Jin,Humanoid,Torna,46,0,None,390,426,219,13,224,339840,10,30,0,0,0,0,
242,Phantasm,Humanoid,,44,0,Dark,251,258,148,15,51,61495,-10,-10,768,0,24,10,
243,Malos,Blade,Torna,52,0,Dark,477,437,226,22,291,518625,20,10,8982,7720,472,192,
244,Jin,Humanoid,Torna,54,0,None,385,420,252,15,261,375156,10,30,0,0,0,0,
245,Malos,Blade,Torna,56,0,Dark,461,422,240,24,312,527107,20,10,0,0,0,0,
246,Gargoyle,Machine,Bot,1,0,None,30,30,31,0,14,200,0,0,20,33,4,2,
247,Artifice Ophion,Machine,Artifice,99,0,Dark,2948,1621,306,33,900,11248050,0,0,26532,17760,880,340,
248,Deadfire Guldo,Humanoid,Guldo,52,0,None,405,390,174,13,128,207450,10,20,748,77,40,16,
249,Darkblood Guldo,Humanoid,Guldo,50,2,None,252,199,185,27,153,107019,25,10,705,73,39,16,
250,Infernal Guldo,Humanoid,Guldo,60,0,None,912,638,202,20,288,2041900,10,20,0,0,0,0,
251,Indoline Star,Titan,Indol,60,0,None,451,574,256,20,293,420048,10,30,1560,831,75,30,
252,Indoline Loyalist,Humanoid,Indol,57,0,None,236,318,176,15,260,60970,-10,20,513,216,14,6,
253,Jin,Humanoid,Torna,66,0,None,598,598,298,18,315,1093760,10,30,13302,13050,640,260,
254,Amalthus,Blade,Indol,68,0,None,636,800,245,22,502,1616850,20,30,14004,16260,825,325,
255,Blade Bot,Machine,Bot,60,0,Dark,510,583,240,14,266,290241,15,20,811,277,45,18,
256,Nia,Humanoid,Driver,60,0,Water,171,173,256,26,266,58340,0,30,3120,0,150,60,
257,,Blade,,60,0,None,456,456,197,0,222,145850,0,0,0,0,0,0,
258,Mòrag,Humanoid,Driver,60,0,Fire,319,205,236,26,288,70008,0,20,3120,0,150,60,
259,,Blade,,60,0,None,456,228,197,0,222,72925,0,0,0,0,0,0,
260,Tora,Humanoid,Driver,60,0,Earth,191,164,157,27,244,40838,0,0,3120,0,150,60,
261,,Blade,,60,0,None,456,456,197,0,222,29170,0,0,0,0,0,0,
262,Zeke,Humanoid,Driver,60,0,None,180,164,193,26,266,35733,0,0,3120,0,150,60,
263,,Blade,,60,0,None,456,228,197,0,222,72925,0,0,0,0,0,0,
264,Malos,Humanoid,Torna,62,0,None,117,141,145,17,137,246400,0,0,662,482,31,13,
265,Artifice Aion,Machine,Artifice,70,0,Light,1267,1056,270,24,412,3394800,30,30,0,0,0,0,
266,Dughall,Humanoid,Ardainian,13,0,None,83,78,59,5,43,48789,0,0,656,704,75,37,
267,Akhos,Humanoid,Torna,24,0,None,156,188,120,8,104,266800,12,25,1304,1580,112,52,
268,Malos,Humanoid,Torna,26,0,None,184,138,105,8,95,310780,20,10,1456,1720,120,60,
269,Rosa,Machine,Bot,32,0,Earth,404,278,123,11,40,379800,30,15,4320,3240,285,135,
