Blade ID,Blade Name,Skill,Type,Col,Row,Level,Idea Category,Idea Points,Condition,Count,Result
1001,Pyra,Blazing End,Special,4,3,3,Bravery,300,Use Blazing End.,6,I'm starting to get the hang of this one.
1001,Pyra,Blazing End,Special,4,4,4,Bravery,500,Defeat a Skad Taos in Leftheria.,4,"If you stand in my way, you'd better
be prepared - I won't hold back!"
1001,Pyra,Blazing End,Special,4,5,5,Bravery,800,Use Blazing End.,8,"I'll use this power to make
our hopes a reality!"
1001,Pyra,Purifying Flames,Battle Skill,5,1,1,Truth,100,Use a Blade Art.,3,I'll be watching out for you.
1001,Pyra,Purifying Flames,Battle Skill,5,2,2,Truth,200,Help an incapacitated ally.,10,Is everyone OK? I hope I'm helping...
1001,Pyra,Purifying Flames,Battle Skill,5,3,3,Truth,300,"Speak to Pyra at Corinne's House in
Leftheria to view the Heart-to-Heart
""By the Graveside"".",,"Don't shout inside my head like that!
Talk to me in person, why don't you?!"
1001,Pyra,Purifying Flames,Battle Skill,5,4,4,Truth,500,Use a Blade Art.,7,I've got your back!
1001,Pyra,Purifying Flames,Battle Skill,5,5,5,Truth,800,"Swap Blades during battle.
(Previous instances count toward total.)",4000,"Is there a way for me to be
more useful...?"
1001,Pyra,Resplendence,Battle Skill,6,1,1,Compassion,100,Perform a Blade Combo.,2,I've awoken new power within me...
1001,Pyra,Resplendence,Battle Skill,6,2,2,Compassion,200,"Perform a Driver Combo.
(It's enough to just be present.)",5,Nice! I'd better work hard too!
1001,Pyra,Resplendence,Battle Skill,6,3,3,Compassion,300,Deal a critical hit.,7,I think my power has grown stronger.
1001,Pyra,Resplendence,Battle Skill,6,4,4,Compassion,500,"In Argentum, view the Heart-to-Heart
""Mòrag the Chef"".",,"Maybe letting those two cook
wasn't such a good idea..."
1001,Pyra,Resplendence,Battle Skill,6,5,5,Compassion,800,"Perform a Driver Combo.
(It's enough to just be present.)",12,"Next time, I'll show you what I can do!"
1001,Pyra,Flaming Edge,Battle Skill,7,1,1,,,,,
1001,Pyra,Flaming Edge,Battle Skill,7,2,2,Bravery,200,Deal a critical hit.,5,I still have so much left to learn!
1001,Pyra,Flaming Edge,Battle Skill,7,3,3,Bravery,300,"Walk a lot.
(Previous instances count toward total.)",80000,"We've traveled a long way together,
haven't we? I hope we can keep
journeying together like this."
1001,Pyra,Flaming Edge,Battle Skill,7,4,4,Bravery,500,Evade an attack.,9,I'll make good use of this!
1001,Pyra,Flaming Edge,Battle Skill,7,5,5,Bravery,800,Perform a Blade Combo.,12,"This move is my specialty,
so let's make good use of it!"
1001,Pyra,Fire Mastery,Field Skill,8,1,1,,,,,
1001,Pyra,Fire Mastery,Field Skill,8,2,2,Bravery,200,"Discover an area.
(Previous instances count toward total.)",12,"We've visited so many different places.
Which one was your favorite?"
1001,Pyra,Fire Mastery,Field Skill,8,3,,,,,,
1001,Pyra,Fire Mastery,Field Skill,8,4,3,Bravery,500,"Collect stuff.
(Previous instances count toward total.)",25,"Look at all the things we've collected...
Do you see any good ingredients?"
1001,Pyra,Fire Mastery,Field Skill,8,5,,,,,,
1001,Pyra,Focus,Field Skill,9,1,1,,,,,
1001,Pyra,Focus,Field Skill,9,2,,,,,,
1001,Pyra,Focus,Field Skill,9,3,2,Truth,300,"Use Pyra's favorite pouch item
from the Drinks category.",4,"Jenerossi Tea has such a lovely aroma.
It does wonders for my concentration!"
1001,Pyra,Focus,Field Skill,9,4,,,,,,
1001,Pyra,Focus,Field Skill,9,5,3,Truth,800,"Succeed in a button challenge
during a battle.
(Previous instances count toward total.)",100,Perfect timing. I knew you could do it!
1001,Pyra,Cooking,Field Skill,10,1,1,,,,,
1001,Pyra,Cooking,Field Skill,10,2,,,,,,
1001,Pyra,Cooking,Field Skill,10,3,2,Compassion,300,"Make food.
(Previous instances count toward total.)",10,"I love cooking! Let me know if there's
anything else you want me to make."
1001,Pyra,Cooking,Field Skill,10,4,,,,,,
1001,Pyra,Cooking,Field Skill,10,5,3,Compassion,800,"Make food.
(Previous instances count toward total.)",50,"I may have made a bit too much...
But we can't be wasting food,
so I hope you'll eat it all!"
1002,Mythra,,Key,1,1,1,,,,,
1002,Mythra,,Key,1,2,2,Justice,200,Increase Trust.,100,Do you think I've changed?
1002,Mythra,,Key,1,3,3,Justice,300,Increase Trust.,1300,You haven't seen anything yet.
1002,Mythra,,Key,1,4,4,Justice,500,Increase Trust.,3800,"You'd better use my power with care.
I know I can trust you, but still...
Promise me, OK?"
1002,Mythra,,Key,1,5,5,Justice,800,Increase Trust.,8800,"I don't think I'd ever have made it this
far without you. So...thanks, I guess."
1002,Mythra,Ray of Punishment,Special,2,1,1,,,,,
1002,Mythra,Ray of Punishment,Special,2,2,2,Justice,200,Use Ray of Punishment.,10,"It's been 500 years, so I might
be a little out of practice..."
1002,Mythra,Ray of Punishment,Special,2,3,3,Justice,300,Defeat a Novl Ories in Tantal.,4,"They weren't so tough.
Or is it me who's got stronger?"
1002,Mythra,Ray of Punishment,Special,2,4,4,Justice,500,"Defeat a Valt Ropl at the Cliffs of
Morytha.",4,"No match for me, I'm afraid.
Bring it any time!"
1002,Mythra,Ray of Punishment,Special,2,5,5,Justice,800,"Defeat Crimson Derrick
at the Cliffs of Morytha.",1,"That one was tougher than
I expected... I'll remember your
name, Crimson Derrick."
1002,Mythra,Photon Edge,Special,3,1,1,,,,,
1002,Mythra,Photon Edge,Special,3,2,2,Justice,200,Defeat a Nyol Flamii in Leftheria.,5,"Fighting those Nyol Flamii has given
me some inspiration. I'll have to try
this out in our next battle."
1002,Mythra,Photon Edge,Special,3,3,3,Justice,300,"Defeat Peng enemies in Tantal.
(Excludes unique monsters.)",5,"Come at me as many times as you like.
It won't change the outcome."
1002,Mythra,Photon Edge,Special,3,4,4,Justice,500,Use Photon Edge.,9,"I feel like my technique has a new
edge to it, don't you?"
1002,Mythra,Photon Edge,Special,3,5,5,Justice,800,Perform a Blade Combo.,12,"I'll wipe them all out next time, too."
1002,Mythra,Lightning Buster,Special,4,1,1,,,,,
1002,Mythra,Lightning Buster,Special,4,2,2,Justice,200,Defeat a Buma Hiln in Leftheria.,5,"Sounds like a job for...me!
I can handle this just fine."
1002,Mythra,Lightning Buster,Special,4,3,3,Justice,300,Use Lightning Buster.,6,"Starting to really get the hang of
this one, aren't I?"
1002,Mythra,Lightning Buster,Special,4,4,4,Justice,500,Perform a Blade Combo.,10,Witness the power of light!
1002,Mythra,Lightning Buster,Special,4,5,5,Justice,800,"Defeat Perplexed Stoyan
in Leftheria.",1,"I'll wipe you out with my
unmatched skills."
1002,Mythra,Foresight,Battle Skill,5,1,1,,,,,
1002,Mythra,Foresight,Battle Skill,5,2,2,Justice,200,Evade an attack.,5,I could do this all day.
1002,Mythra,Foresight,Battle Skill,5,3,3,Justice,300,Raise Affinity in combat.,5,I could have predicted this outcome.
1002,Mythra,Foresight,Battle Skill,5,4,4,Justice,500,Deal a critical hit.,8,"With this strength, I'll protect you all!"
1002,Mythra,Foresight,Battle Skill,5,5,5,Justice,800,"At a ruined office building in Morytha,
view the Heart-to-Heart
""Mythra Vs. Brighid"".",,"One of these days, I'm going to
prove I'm the strongest!"
1002,Mythra,Lightspeed Flurry,Battle Skill,6,1,1,,,,,
1002,Mythra,Lightspeed Flurry,Battle Skill,6,2,2,Justice,200,Raise Affinity in combat.,2,"Let's show them all what we
can do together!"
1002,Mythra,Lightspeed Flurry,Battle Skill,6,3,3,Justice,300,Deal a critical hit.,7,I'm ready to back you up.
1002,Mythra,Lightspeed Flurry,Battle Skill,6,4,4,Justice,500,Help an incapacitated ally.,20,"If someone's on the ground, it's only
right to give them a helping hand."
1002,Mythra,Lightspeed Flurry,Battle Skill,6,5,5,Justice,800,Raise Affinity in combat.,100,"I'll back you up, so you concentrate
on attacking!"
1002,Mythra,Glint,Battle Skill,7,1,1,Justice,100,Deal a critical hit.,3,I've gotten stronger!
1002,Mythra,Glint,Battle Skill,7,2,2,Justice,200,Deal a critical hit.,5,"Are you finding my strength
a useful asset?"
1002,Mythra,Glint,Battle Skill,7,3,3,Justice,300,Evade an attack.,7,"Dodging's all very well, but it's not
much use if you don't strike back!"
1002,Mythra,Glint,Battle Skill,7,4,4,Justice,500,Evade an attack.,9,"Exceeding my predictions?
Now that's quite something."
1002,Mythra,Glint,Battle Skill,7,5,5,Justice,800,"Walk a lot.
(Previous instances count toward total.)",400000,"We've certainly traveled a lot.
But there are plenty of places
I'd still like to see!"
1002,Mythra,Light Mastery,Field Skill,8,1,1,,,,,
1002,Mythra,Light Mastery,Field Skill,8,2,2,Compassion,200,"Go shopping.
(Previous instances count toward total.)",50,"Shopping is so much fun. But why
stop there? Let's buy even more!"
1002,Mythra,Light Mastery,Field Skill,8,3,,,,,,
1002,Mythra,Light Mastery,Field Skill,8,4,3,Compassion,500,"Go shopping.
(Previous instances count toward total.)",100,"Maybe we went a little overboard
on that shopping spree...
You still doing all right for money?"
1002,Mythra,Light Mastery,Field Skill,8,5,,,,,,
1002,Mythra,Focus,Field Skill,9,1,1,Truth,100,"Talk to different people.
(Previous instances count toward total.)",20,"Alrest doesn't look too different from
the past... But there's no way to know
unless we ask its people."
1002,Mythra,Focus,Field Skill,9,2,,,,,,
1002,Mythra,Focus,Field Skill,9,3,2,Truth,300,"Use Mythra's favorite pouch items.
(Desserts category)",4,"Did you know I like these?
I'm impressed."
1002,Mythra,Focus,Field Skill,9,4,,,,,,
1002,Mythra,Focus,Field Skill,9,5,3,Truth,800,"Use Mythra's favorite pouch items.
(Art category)",2,"I don't know what it is, but something
about this just speaks to me."
1002,Mythra,Girls' Talk,Field Skill,10,1,1,,,,,
1002,Mythra,Girls' Talk,Field Skill,10,2,2,Justice,200,"Speak to lots of different people.
(Previous instances count toward total.)",50,"I want to talk with a lot of people.
There's so much I don't know about
the world after 500 years asleep!"
1002,Mythra,Girls' Talk,Field Skill,10,3,,,,,,
1002,Mythra,Girls' Talk,Field Skill,10,4,3,Justice,500,"Speak to lots of different people.
(Previous instances count toward total.)",100,"It's not always easy to find a topic that
really piques your interest."
1002,Mythra,Girls' Talk,Field Skill,10,5,,,,,,
1004,Dromarch,,Key,1,1,1,,,,,
1004,Dromarch,,Key,1,2,2,Bravery,200,Increase Trust.,100,"I'm sure I still have a little
room for improvement."
1004,Dromarch,,Key,1,3,3,Bravery,300,Increase Trust.,1600,"I still have room for
improvement. But, still, let
me show you what I can do."
1004,Dromarch,,Key,1,4,4,Bravery,500,Increase Trust.,4600,"I'm a little stronger now.
I hope my performance will
satisfy."
1004,Dromarch,,Key,1,5,5,Bravery,800,Increase Trust.,10600,"I feel that ultimate power is
within my grasp!"
1004,Dromarch,Raging Tiger,Special,2,1,1,,,,,
1004,Dromarch,Raging Tiger,Special,2,2,2,Truth,200,"Defeat Volff enemies in Uraya.
(Excludes unique monsters.)",6,"A worthy foe. But I will defeat them
as many times as it takes."
1004,Dromarch,Raging Tiger,Special,2,3,3,Truth,300,Use Raging Tiger.,11,"I seem to be edging closer
toward mastery."
1004,Dromarch,Raging Tiger,Special,2,4,4,Truth,500,Defeat a Fuvor Aligo in Leftheria.,4,"I promise a stirring
performance in the next
battle!"
1004,Dromarch,Raging Tiger,Special,2,5,5,Truth,800,"Defeat Praetorian Medea
at the World Tree.",1,"Somehow, I overcame that
mighty foe. I must admit,
it was not easy."
1004,Dromarch,Aqua Wave,Special,3,1,1,,,,,
1004,Dromarch,Aqua Wave,Special,3,2,2,Bravery,200,"Defeat Volff enemies in Gormott.
(Excludes unique monsters.)",6,"These Volff...
I cannot allow them to best me!"
1004,Dromarch,Aqua Wave,Special,3,3,3,Bravery,300,Defeat a Fabel Bufa in Mor Ardain.,4,They were no match for me.
1004,Dromarch,Aqua Wave,Special,3,4,4,Bravery,500,Use Aqua Wave.,9,"One can never truly perfect
one's craft."
1004,Dromarch,Aqua Wave,Special,3,5,5,Bravery,800,"Defeat Machine-Gun Julio
at the Cliffs of Morytha.",1,"A worthy foe makes for
great exercise."
1004,Dromarch,Wild Roar,Special,4,1,1,,,,,
1004,Dromarch,Wild Roar,Special,4,2,2,Bravery,200,"Perform a Driver Combo.
(It's enough to just be present.)",5,"I won't be outdone!
This is why I train so hard!"
1004,Dromarch,Wild Roar,Special,4,3,3,Bravery,300,Use Wild Roar.,6,"I'm sure you'll be able to
observe a little improvement
in my technique!"
1004,Dromarch,Wild Roar,Special,4,4,4,Bravery,500,Defeat a Grad Gogol in Tantal.,4,"I feel power surging through
me, nose to tail!"
1004,Dromarch,Wild Roar,Special,4,5,5,Bravery,800,Use Wild Roar.,8,"I'll show you how to land
a stinging blow!"
1004,Dromarch,Celestial Gift,Battle Skill,5,1,1,,,,,
1004,Dromarch,Celestial Gift,Battle Skill,5,2,2,Truth,200,Perform a Blade Combo.,5,"Behold the mighty
power of water!"
1004,Dromarch,Celestial Gift,Battle Skill,5,3,3,Truth,300,"Perform a Driver Combo.
(It's enough to just be present.)",7,"You may rely on me for
support, always."
1004,Dromarch,Celestial Gift,Battle Skill,5,4,4,Truth,500,Perform a Blade Combo.,10,"You will come to understand
the might of water."
1004,Dromarch,Celestial Gift,Battle Skill,5,5,5,Truth,800,"Complete a quest.
(Previous instances count toward total.)",100,"I set myself against many
challenges, and gained much
experience."
1004,Dromarch,River's Blessing,Battle Skill,6,1,1,Bravery,100,"Perform a Driver Combo.
(It's enough to just be present.)",2,My claws grow stronger.
1004,Dromarch,River's Blessing,Battle Skill,6,2,2,Bravery,200,"Use Dromarch's favorite pouch items.
(Meat category)",4,"Ah, delicious! A little treat
now and again boosts one's
strength, I'm sure."
1004,Dromarch,River's Blessing,Battle Skill,6,3,3,Bravery,300,Perform a Blade Combo.,7,"I will demonstrate to you
my power."
1004,Dromarch,River's Blessing,Battle Skill,6,4,4,Bravery,500,"Perform a Driver Combo.
(It's enough to just be present.)",10,"As ever, I will use my power
for the good of all."
1004,Dromarch,River's Blessing,Battle Skill,6,5,5,Bravery,800,"Stay at an inn.
(Previous instances count toward total.)",50,"Without ample rest, there
can be no growth."
1004,Dromarch,Howl of Calm,Battle Skill,7,1,1,,,,,
1004,Dromarch,Howl of Calm,Battle Skill,7,2,2,Bravery,200,Block an attack.,5,"I feel that I've obtained a
little more strength."
1004,Dromarch,Howl of Calm,Battle Skill,7,3,3,Bravery,300,Block an attack.,7,"Perhaps I can be of even
greater service to you now."
1004,Dromarch,Howl of Calm,Battle Skill,7,4,4,Bravery,500,"On higher ground in Mor Ardain,
view the Heart-to-Heart
""Unforgiving Terrain"".",,"I promised my lady that I'd
suffer no one else to sit
upon my back."
1004,Dromarch,Howl of Calm,Battle Skill,7,5,5,Bravery,800,"Engage in combat.
(Previous instances count toward total.)",100,"It is experience that makes
us strong, is it not?"
1004,Dromarch,Water Mastery,Field Skill,8,1,1,,,,,
1004,Dromarch,Water Mastery,Field Skill,8,2,,,,,,
1004,Dromarch,Water Mastery,Field Skill,8,3,2,Bravery,300,Defeat a Karlin Skwaror in Uraya.,5,"The power of water yields
to my yoke. It is at your
service."
1004,Dromarch,Water Mastery,Field Skill,8,4,,,,,,
1004,Dromarch,Water Mastery,Field Skill,8,5,3,Bravery,800,"Defeat a Kustal Sovereign
at the World Tree.",5,"Please, leave it to me, if
you hope for a favorable
outcome."
1004,Dromarch,Botany,Field Skill,9,1,1,,,,,
1004,Dromarch,Botany,Field Skill,9,2,,,,,,
1004,Dromarch,Botany,Field Skill,9,3,2,Bravery,300,"Acquire Flower items from
the Collectibles list.",25,"I think I'm getting the hang
of this..."
1004,Dromarch,Botany,Field Skill,9,4,,,,,,
1004,Dromarch,Botany,Field Skill,9,5,3,Bravery,800,"Acquire items from the
Collectibles list.
(Previous instances count toward total.)",250,"I hope that my botany skills
will be of use to you all."
1004,Dromarch,Ancient Wisdom,Field Skill,10,1,1,Justice,100,"Acquire Mechanical items from
the Collectibles list.",5,"My, my. What will they think of next..."
1004,Dromarch,Ancient Wisdom,Field Skill,10,2,2,Justice,200,"Acquire Mechanical items
from the Collectibles list.",20,"Ah, such fascinating trinkets."
1004,Dromarch,Ancient Wisdom,Field Skill,10,3,,,,,,
1004,Dromarch,Ancient Wisdom,Field Skill,10,4,3,Justice,500,"Acquire Treasure items through
salvaging.",7,"Perhaps the time has come
for me to flaunt a little of
my erudition?"
1004,Dromarch,Ancient Wisdom,Field Skill,10,5,,,,,,
1005,Poppi α,,Key,1,1,1,,,,,
1005,Poppi α,,Key,1,2,2,Compassion,200,Increase Trust.,100,Poppi can do more things now!
1005,Poppi α,,Key,1,3,3,Compassion,300,Increase Trust.,1600,New powers of Poppi unleashed!
1005,Poppi α,,Key,1,4,4,Compassion,500,Increase Trust.,4600,Poppi growing all the time!
1005,Poppi α,,Key,1,5,5,Compassion,800,Increase Trust.,10600,"All preparations complete.
Time is come to unleash all powers!"
1005,Poppi α,Poppi Spinning Slash,Special,2,1,1,,,,,
1005,Poppi α,Poppi Spinning Slash,Special,2,2,2,Bravery,200,Perform a Blade Combo.,5,Watch Poppi demonstrate power!
1005,Poppi α,Poppi Spinning Slash,Special,2,3,3,Bravery,300,"Perform a Driver Combo.
(It's enough to just be present.)",7,"Poppi's turn next.
Time for Blade Combo!"
1005,Poppi α,Poppi Spinning Slash,Special,2,4,4,Bravery,500,Use Poppi Spinning Slash.,12,"Poppi mastered this technique
to maximum level!"
1005,Poppi α,Poppi Spinning Slash,Special,2,5,5,Bravery,800,Perform a Blade Combo finisher.,3,Poppi perform amazing feat.
1005,Poppi α,Noponic Storm,Special,3,1,1,,,,,
1005,Poppi α,Noponic Storm,Special,3,2,2,Bravery,200,Use Noponic Storm.,7,Attack of Poppi get stronger!
1005,Poppi α,Noponic Storm,Special,3,3,3,Bravery,300,Perform a Blade Combo.,7,"Leave it to Poppi!
Poppi can handle anything!"
1005,Poppi α,Noponic Storm,Special,3,4,4,Bravery,500,"Perform a Driver Combo.
(It's enough to just be present.)",10,Can Poppi become real Blade...?
1005,Poppi α,Noponic Storm,Special,3,5,5,Bravery,800,"Collect an HP Potion.
(Previous instances count toward total.)",500,Combat ability of Poppi increased!
1005,Poppi α,Poppi Drill,Special,4,1,1,,,,,
1005,Poppi α,Poppi Drill,Special,4,2,2,Bravery,200,"Perform a Driver Combo.
(It's enough to just be present.)",5,"Masterpon very amazing.
Poppi must work hard to match."
1005,Poppi α,Poppi Drill,Special,4,3,3,Bravery,300,Use Poppi Drill.,6,Poppi getting quite good at this!
1005,Poppi α,Poppi Drill,Special,4,4,4,Bravery,500,Perform a Blade Combo.,10,Poppi get stronger and stronger!
1005,Poppi α,Poppi Drill,Special,4,5,5,Bravery,800,"Perform a Driver Combo finisher.
(It's enough to just be present.)",3,Poppi want to do cool attack too!
1005,Poppi α,Noponic Iron,Battle Skill,5,1,1,,,,,
1005,Poppi α,Noponic Iron,Battle Skill,5,2,2,Compassion,200,"Use Poppi α's favorite pouch item
from the Instruments category.",2,"Roly-Poly Maracas...so cute...
Poppi love them too much!"
1005,Poppi α,Noponic Iron,Battle Skill,5,3,3,Compassion,300,Raise Affinity in combat.,5,This is power of working together?
1005,Poppi α,Noponic Iron,Battle Skill,5,4,4,Compassion,500,Raise Affinity in combat.,6,"Poppi sure now. Working together
make Poppi extra strong!"
1005,Poppi α,Noponic Iron,Battle Skill,5,5,5,Compassion,800,"Deal a critical hit.
(Previous instances count toward total.)",20000,Armor functions of Poppi enhanced.
1005,Poppi α,Guard Shift,Battle Skill,6,1,1,Compassion,100,Block an attack.,2,"How nice, Poppi get power-up!"
1005,Poppi α,Guard Shift,Battle Skill,6,2,2,Compassion,200,Block an attack.,5,Poppi features improving!
1005,Poppi α,Guard Shift,Battle Skill,6,3,3,Compassion,300,"In Tora's House, Gormott, view the
Heart-to-Heart ""Poppi's Remodel?"".",,"Masterpon, when you let Poppi
equip new armor?"
1005,Poppi α,Guard Shift,Battle Skill,6,4,4,Compassion,500,Block an attack.,9,Time for lots of upgrades.
1005,Poppi α,Guard Shift,Battle Skill,6,5,5,Compassion,800,"Receive a certain amount
of total damage.",80000,Guard functionality at top potency!
1005,Poppi α,Emergency Mode,Battle Skill,7,1,1,Compassion,100,Perform a Blade Combo.,2,New power for Poppi! Very excite.
1005,Poppi α,Emergency Mode,Battle Skill,7,2,2,Compassion,200,"Salvage.
(Previous instances count toward total.)",20,"What is under surface of Cloud Sea
like? Can Poppi go inside?"
1005,Poppi α,Emergency Mode,Battle Skill,7,3,3,Compassion,300,"Hit the specified score
in Tiger! Tiger!.",20000,Leave support to Poppi!
1005,Poppi α,Emergency Mode,Battle Skill,7,4,4,Compassion,500,"Hit the specified score
in Tiger! Tiger!.",50000,Poppi help out Masterpon lots!
1005,Poppi α,Emergency Mode,Battle Skill,7,5,5,Compassion,800,Trade items at an exchange.,50,"Many things collected...
Any useful for upgrading Poppi?"
1005,Poppi α,Leaping,Field Skill,8,1,1,,,,,
1005,Poppi α,Leaping,Field Skill,8,2,2,Compassion,200,"Use Poppi α's favorite pouch items.
(Instruments category)",2,"This make good sound.
Poppi like musical instruments."
1005,Poppi α,Leaping,Field Skill,8,3,,,,,,
1005,Poppi α,Leaping,Field Skill,8,4,3,Compassion,500,"Jump.
(Previous instances count toward total.)",300,Jumping power increase?
1005,Poppi α,Leaping,Field Skill,8,5,,,,,,
1005,Poppi α,Nopon Wisdom,Field Skill,9,1,1,,,,,
1005,Poppi α,Nopon Wisdom,Field Skill,9,2,2,Compassion,200,Speak to a Nopon.,20,Poppi feel smarter now!
1005,Poppi α,Nopon Wisdom,Field Skill,9,3,,,,,,
1005,Poppi α,Nopon Wisdom,Field Skill,9,4,3,Compassion,500,Speak to a Nopon.,40,"Poppi good at dealing with Nopon.
Can even deal with Masterpon."
1005,Poppi α,Nopon Wisdom,Field Skill,9,5,,,,,,
1005,Poppi α,Superstrength,Field Skill,10,1,1,,,,,
1005,Poppi α,Superstrength,Field Skill,10,2,,,,,,
1005,Poppi α,Superstrength,Field Skill,10,3,2,Compassion,300,"Use Poppi α's favorite pouch items.
(Staple Foods category)",4,"Poppi not eat food, but can
sense smells! This smell fill
Poppi with strength!"
1005,Poppi α,Superstrength,Field Skill,10,4,,,,,,
1005,Poppi α,Superstrength,Field Skill,10,5,3,Compassion,800,"Use Poppi α's favorite pouch item
from the Drinks category.",4,"Ahhhhh... Looks so lovely!
Poppi wish could actually drink it."
1006,Poppi QT,,Key,1,1,1,,,,,
1006,Poppi QT,,Key,1,2,2,Truth,200,Increase Trust.,100,Poppi strive for new heights!
1006,Poppi QT,,Key,1,3,3,Truth,300,Increase Trust.,1300,Strive for even newer heights!
1006,Poppi QT,,Key,1,4,4,Truth,500,Increase Trust.,3800,Poppi strive to reach pinnacle!
1006,Poppi QT,,Key,1,5,5,Truth,800,Increase Trust.,8800,"All preparations complete.
Poppi right on course for pinnacle!"
1006,Poppi QT,Poppi Missile,Special,2,1,1,,,,,
1006,Poppi QT,Poppi Missile,Special,2,2,2,Truth,200,Perform a Blade Combo.,5,Behold power of Poppi.
1006,Poppi QT,Poppi Missile,Special,2,3,3,Truth,300,"Perform a Driver Combo.
(It's enough to just be present.)",7,"Poppi on very good form today.
Time to show off best techniques!"
1006,Poppi QT,Poppi Missile,Special,2,4,4,Truth,500,Use Poppi Missile.,12,"Poppi powered up.
Can't wait to test out new power!"
1006,Poppi QT,Poppi Missile,Special,2,5,5,Truth,800,Perform a Blade Combo finisher.,3,Time for attack at maximum output!
1006,Poppi QT,Poppi Crushing Blow,Special,3,1,1,,,,,
1006,Poppi QT,Poppi Crushing Blow,Special,3,2,2,Truth,200,"Use Poppi QT's favorite pouch items.
(Art category)",2,"Meh-meh-meh! Poppi feel somehow
very happy. Just looking at present
bring warmth to heart of Poppi."
1006,Poppi QT,Poppi Crushing Blow,Special,3,3,3,Truth,300,Perform a Blade Combo.,7,"Enemy never escape from Poppi.
Should prepare for total beatdown."
1006,Poppi QT,Poppi Crushing Blow,Special,3,4,4,Truth,500,Use Poppi Crushing Blow.,9,"Poppi extremely good at this
technique now!"
1006,Poppi QT,Poppi Crushing Blow,Special,3,5,5,Truth,800,"Perform a Driver Combo finisher.
(It's enough to just be present.)",3,"Next time, Poppi use Blade Combo.
Watch Poppi in next battle!"
1006,Poppi QT,Noponic Destruction,Special,4,1,1,,,,,
1006,Poppi QT,Noponic Destruction,Special,4,2,2,Compassion,200,"Perform a Driver Combo.
(It's enough to just be present.)",5,"Masterpon not only one
with cool techniques!
Poppi can do cool things too!"
1006,Poppi QT,Noponic Destruction,Special,4,3,3,Compassion,300,Use Noponic Destruction.,6,"Abilities of Poppi got more powerful.
Poppi more useful to Masterpon now?"
1006,Poppi QT,Noponic Destruction,Special,4,4,4,Compassion,500,Perform a Blade Combo.,10,Time to carry out Poppi justice.
1006,Poppi QT,Noponic Destruction,Special,4,5,5,Compassion,800,Use Noponic Destruction.,8,"Big power up for Poppi!
Look at power of Poppi attack!"
1006,Poppi QT,Velocity Gear,Battle Skill,5,1,1,,,,,
1006,Poppi QT,Velocity Gear,Battle Skill,5,2,2,Compassion,200,"Deal a certain amount
of total damage.",8000,"Too easy. Poppi could do challenge
like this ten times before breakfast.
Except Poppi not eat breakfast."
1006,Poppi QT,Velocity Gear,Battle Skill,5,3,3,Compassion,300,"Deal a certain amount
of total damage.",16000,Poppi can still do even better!
1006,Poppi QT,Velocity Gear,Battle Skill,5,4,4,Compassion,500,"Deal a certain amount
of total damage.",32000,"This was difficult struggle
even for Poppi."
1006,Poppi QT,Velocity Gear,Battle Skill,5,5,5,Compassion,800,Block an attack.,250,Guard mission is easy for Poppi!
1006,Poppi QT,Flash Counter,Battle Skill,6,1,1,Compassion,100,Evade an attack.,3,"Poppi get more buff!
... Is Poppi use ""buff"" correctly...?"
1006,Poppi QT,Flash Counter,Battle Skill,6,2,2,Compassion,200,Evade an attack.,5,"Dodge attack, then strike back!"
